address,postcode,property_type,bedrooms,tenure,last_sold_date,last_sold_price
"46, South Park Road, Gatley, Cheadle 8 Detached 4 Freehold Previou",SK8 4AN,Detached,4.0,Freehold,17 Nov 2025,495000
"35, Frances Avenue, Gatley, Cheadle 19 Semi-Detached 3 Freehold P",SK8 4BJ,Detached,3.0,Freehold,17 Nov 2025,435000
"6, Laurel Avenue, Cheadle 14 Semi-Detached 2 Freehold P",SK8 1ER,Detached,2.0,Freehold,14 Nov 2025,500000
"4, Dennison Road, Cheadle Hulme, Cheadle 28 Detached 4 Freehold Previo",SK8 6LW,Detached,4.0,Freehold,14 Nov 2025,708000
"22, Keswick Avenue, Gatley, Cheadle 24 Detached 4 Freehold Previo",SK8 4LF,Detached,4.0,Freehold,14 Nov 2025,588000
"89, East Avenue, Heald Green, Cheadle 15 Semi-Detached 4 Freehold P",SK8 3BR,Detached,4.0,Freehold,14 Nov 2025,400000
"29, St Anns Road South, Heald Green, Cheadle 16 Detached 3 Leasehold Previ",SK8 3DZ,Detached,3.0,Leasehold,14 Nov 2025,410000
"5, Finney Lane, Heald Green, Cheadle 27 Semi-Detached 3 Freehold P",SK8 3DQ,Detached,3.0,Freehold,14 Nov 2025,345000
"6, Sandbach Walk, Cheadle 9 Terraced 3 Freehold Previou",SK8 2LY,Detached,3.0,Freehold,14 Nov 2025,384044
"6, Sandbach Walk, Cheadle 9 Terraced 3 Freehold Previou",SK8 2LY,Detached,3.0,Freehold,14 Nov 2025,260000
"35, Viscount Drive, Heald Green, Cheadle 22 Detached 3 Freehold Previo",SK8 3HU,Detached,3.0,Freehold,14 Nov 2025,300000
"36, Bird Hall Road, Cheadle Hulme, Cheadle 18 Semi-Detached 3 Leasehold",SK8 5QH,Detached,3.0,Leasehold,13 Nov 2025,327500
"21, Featherstone Crescent, Heald Green, Cheadle 13 Semi-Detached 3 Freehold P",SK8 3XH,Detached,3.0,Freehold,13 Nov 2025,416000
"6, Lime Grove, Cheadle 21 Terraced 2 Freehold Previo",SK8 1PF,Terraced,2.0,Freehold,13 Nov 2025,405000
"2, Astbury Walk, Cheadle 16 Terraced 2 Freehold Previo",SK8 2NB,Terraced,2.0,Freehold,11 Nov 2025,250000
"18, Dutton Court, Station Approach, Cheadle Hulme, Cheadle 24 Flat 1 Leasehold Previous",SK8 5BF,Flat,1.0,Leasehold,11 Nov 2025,175000
"13, Borrowdale Avenue, Gatley, Cheadle 25 Semi-Detached 4 Freehold P",SK8 4QE,Detached,4.0,Freehold,7 Nov 2025,538000
"1, Hulme Hall Crescent, Cheadle Hulme, Cheadle 19 Detached 4 Freehold Previo",SK8 6LG,Detached,4.0,Freehold,7 Nov 2025,625000
"16, Styal Road, Gatley, Cheadle 67 Detached 4 Freehold Previo",SK8 4JG,Detached,4.0,Freehold,7 Nov 2025,736500
"37, Parsonage Way, Cheadle 19 Terraced 2 Freehold Previo",SK8 2JS,Terraced,2.0,Freehold,7 Nov 2025,225000
"16, Alcester Road, Gatley, Cheadle 15 Semi-Detached 3 Leasehold",SK8 4PG,Detached,3.0,Leasehold,7 Nov 2025,420000
"166, Brookfield Road, Cheadle 19 Semi-Detached 4 Freehold P",SK8 1EY,Detached,4.0,Freehold,6 Nov 2025,350000
"31, Evesham Road, Cheadle 8 Detached 2 Leasehold Previo",SK8 2LR,Detached,2.0,Leasehold,3 Nov 2025,280000
"8, Summerlea, Cheadle Hulme, Cheadle 19 Detached 4 Freehold Previo",SK8 7EJ,Detached,4.0,Freehold,3 Nov 2025,630000
"13, Park Road, Cheadle 11 Semi-Detached 3 Freehold P",SK8 2AN,Detached,3.0,Freehold,3 Nov 2025,450000
"10, Grosvenor Court, Cheadle 18 Flat 2 Leasehold Previous",SK8 1PE,Flat,2.0,Leasehold,3 Nov 2025,240000
"28, Neal Avenue, Heald Green, Cheadle 5 Semi-Detached 3 Freehold Pr",SK8 3QJ,Detached,3.0,Freehold,3 Nov 2025,315000
"29, Colwyn Road, Cheadle Hulme, Cheadle 13 Semi-Detached 3 Freehold P",SK8 6BX,Detached,3.0,Freehold,31 Oct 2025,325000
"12, Ashdale Drive, Heald Green, Cheadle 13 Semi-Detached 3 Freehold P",SK8 3SX,Detached,3.0,Freehold,31 Oct 2025,340000
"11, Windfields Close, Cheadle Hulme, Cheadle 23 Detached 3 Freehold Previo",SK8 5RH,Detached,3.0,Freehold,31 Oct 2025,338500
"4, Old Farm Mews, Cheadle Hulme, Cheadle 18 Terraced 4 Leasehold Previ",SK8 7HG,Terraced,4.0,Leasehold,31 Oct 2025,511850
"47, Warren Avenue, Cheadle 16 Semi-Detached 3 Freehold P",SK8 1NB,Detached,3.0,Freehold,31 Oct 2025,510000
"18, Rowan Drive, Cheadle Hulme, Cheadle 20 Semi-Detached 3 Freehold P",SK8 7DX,Detached,3.0,Freehold,31 Oct 2025,450000
"18, Rowan Drive, Cheadle Hulme, Cheadle 20 Semi-Detached 3 Freehold P",SK8 7DX,Detached,3.0,Freehold,31 Oct 2025,384044
"18, Rowan Drive, Cheadle Hulme, Cheadle 20 Semi-Detached 3 Freehold P",SK8 7DX,Detached,3.0,Freehold,31 Oct 2025,450000
"19, High Grove Road, Cheadle 17 Semi-Detached 4 Freehold P",SK8 1NS,Detached,4.0,Freehold,31 Oct 2025,575000
"59, Cringle Drive, Cheadle 19 Detached 4 Freehold Previo",SK8 1JH,Detached,4.0,Freehold,30 Oct 2025,505000
"52, Crantock Drive, Heald Green, Cheadle 17 Terraced 4 Leasehold Previ",SK8 3EZ,Terraced,4.0,Leasehold,28 Oct 2025,345000
"115, St Davids Road, Cheadle 8 Terraced 2 Freehold Previou",SK8 2HL,Terraced,2.0,Freehold,28 Oct 2025,267500
"18, Brook Street, Cheadle 8 Terraced 2 Freehold Previou",SK8 2BX,Terraced,2.0,Freehold,28 Oct 2025,215000
"5, Pinfold Drive, Cheadle Hulme, Cheadle 13 Semi-Detached 3 Freehold P",SK8 6JU,Detached,3.0,Freehold,28 Oct 2025,395000
"7, Littlebrook Close, Cheadle Hulme, Cheadle 14 Semi-Detached 3 Leasehold",SK8 5PR,Detached,3.0,Leasehold,27 Oct 2025,310000
"15, Cornwall Road, Heald Green, Cheadle 12 Semi-Detached 3 Leasehold",SK8 3EE,Detached,3.0,Leasehold,27 Oct 2025,340000
"5, 9 The Pointe, Mellor Road, Cheadle Hulme, Cheadle 9 Flat 1 Leasehold Previous t",SK8 5AT,Flat,1.0,Leasehold,24 Oct 2025,156500
"49, Saville Road, Gatley, Cheadle 15 Semi-Detached 3 Leasehold",SK8 4BY,Detached,3.0,Leasehold,24 Oct 2025,344000
"15, Moseley Road, Cheadle Hulme, Cheadle 29 Detached 4 Freehold Previo",SK8 5HJ,Detached,4.0,Freehold,24 Oct 2025,805000
"150, Ladybridge Road, Cheadle Hulme, Cheadle 24 Terraced 2 Freehold Previo",SK8 5PL,Terraced,2.0,Freehold,24 Oct 2025,325000
"15, Oak Gardens, Gatley, Cheadle 21 Semi-Detached 3 Freehold P",SK8 4AX,Detached,3.0,Freehold,24 Oct 2025,368000
"14, Mount Grove, Gatley, Cheadle 17 Semi-Detached 3 Freehold P",SK8 4HR,Detached,3.0,Freehold,24 Oct 2025,430000
"8, Jackson Street, Cheadle 20 Terraced 2 Freehold Previo",SK8 2AU,Terraced,2.0,Freehold,24 Oct 2025,290000
"68, Ashdale Drive, Heald Green, Cheadle 22 Semi-Detached 4 Freehold P",SK8 3SY,Detached,4.0,Freehold,24 Oct 2025,372000
"12, Aber Road, Cheadle 10 Detached 3 Leasehold Previ",SK8 2ES,Detached,3.0,Leasehold,24 Oct 2025,356000
"9, Brecon Avenue, Cheadle Hulme, Cheadle 13 Detached 2 Freehold Previo",SK8 6DA,Detached,2.0,Freehold,24 Oct 2025,350000
"20, Sudbury Drive, Heald Green, Cheadle 13 Semi-Detached 3 Freehold P",SK8 3BT,Detached,3.0,Freehold,24 Oct 2025,360000
"4, Regency Gardens, Cheadle Hulme, Cheadle 17 Detached 4 Freehold Previo",SK8 6SX,Detached,4.0,Freehold,24 Oct 2025,420000
"46, Edenbridge Road, Cheadle Hulme, Cheadle 18 Detached 3 Freehold Previo",SK8 5PX,Detached,3.0,Freehold,23 Oct 2025,490000
"15, Demmings Road, Cheadle 16 Semi-Detached 4 Freehold P",SK8 2LF,Detached,4.0,Freehold,22 Oct 2025,330000
"2, Halstead Grove, Gatley, Cheadle 15 Semi-Detached 3 Freehold P",SK8 4HL,Detached,3.0,Freehold,22 Oct 2025,320000
"13, Worthington Crescent, Cheadle 24 Terraced 3 Freehold Previo",SK8 2GJ,Terraced,3.0,Freehold,21 Oct 2025,425000
"106, Lavington Avenue, Cheadle 15 Detached 3 Freehold Previo",SK8 2HH,Detached,3.0,Freehold,21 Oct 2025,384044
"106, Lavington Avenue, Cheadle 15 Detached 3 Freehold Previo",SK8 2HH,Detached,3.0,Freehold,21 Oct 2025,372500
"3, Bangor Road, Cheadle 10 Semi-Detached 3 Leasehold",SK8 2EH,Detached,3.0,Leasehold,21 Oct 2025,320000
"1, Hill Top Court, Cheadle Hulme, Cheadle 7 Flat 2 Leasehold Previous t",SK8 7HR,Flat,2.0,Leasehold,17 Oct 2025,246000
"3, Darley Avenue, Gatley, Cheadle 22 Semi-Detached 5 Freehold P",SK8 4PQ,Detached,5.0,Freehold,17 Oct 2025,398250
"73, Vicarage Avenue, Cheadle Hulme, Cheadle 18 Detached 4 Leasehold Previ",SK8 7JP,Detached,4.0,Leasehold,17 Oct 2025,645000
"42, Shakespeare Drive, Cheadle 10 Semi-Detached 3 Freehold P",SK8 2DA,Detached,3.0,Freehold,17 Oct 2025,280000
"1, Haslemere Drive, Cheadle Hulme, Cheadle 18 Semi-Detached 3 Freehold P",SK8 6JY,Detached,3.0,Freehold,17 Oct 2025,395000
"39, Hulme Hall Road, Cheadle Hulme, Cheadle 23 Semi-Detached 5 Freehold P",SK8 6JX,Detached,5.0,Freehold,17 Oct 2025,600000
"6, Barley Croft, Cheadle Hulme, Cheadle 25 Detached 3 Freehold Previo",SK8 6SL,Detached,3.0,Freehold,15 Oct 2025,375000
"36, Green Walk, Gatley, Cheadle 19 Semi-Detached 3 Freehold P",SK8 4BW,Detached,3.0,Freehold,15 Oct 2025,373500
"2, Hulme Hall Crescent, Cheadle Hulme, Cheadle 17 Detached 3 Freehold Previo",SK8 6LG,Detached,3.0,Freehold,13 Oct 2025,453500
"52, Bulkeley Road, Cheadle 9 Terraced 2 Freehold Previou",SK8 2AD,Terraced,2.0,Freehold,13 Oct 2025,257000
"18, Acacia Avenue, Cheadle Hulme, Cheadle 19 Semi-Detached 3 Freehold P",SK8 6AB,Detached,3.0,Freehold,10 Oct 2025,437500
"3, Tennyson Road, Cheadle 19 Semi-Detached 2 Freehold P",SK8 2AR,Detached,2.0,Freehold,10 Oct 2025,276000
"7, Warley Close, Cheadle 15 Terraced 3 Freehold Previo",SK8 2BJ,Terraced,3.0,Freehold,10 Oct 2025,313000
"8, Clifton Avenue, Heald Green, Cheadle 15 Detached 3 Leasehold Previ",SK8 3UG,Detached,3.0,Leasehold,10 Oct 2025,330000
"33, Buckingham Road, Cheadle Hulme, Cheadle 16 Semi-Detached 3 Freehold P",SK8 5EG,Detached,3.0,Freehold,9 Oct 2025,422000
"5, Abney Place, Cheadle 6 Flat 1 Leasehold Previous t",SK8 1GY,Flat,1.0,Leasehold,6 Oct 2025,186000
"24, Finney Lane, Heald Green, Cheadle 18 Semi-Detached 3 Freehold P",SK8 3DQ,Detached,3.0,Freehold,6 Oct 2025,390000
"7, Springfield Road, Gatley, Cheadle 16 Semi-Detached 3 Freehold P",SK8 4PE,Detached,3.0,Freehold,3 Oct 2025,465000
"35, Councillor Lane, Cheadle 17 Semi-Detached 4 Freehold P",SK8 2HU,Detached,4.0,Freehold,3 Oct 2025,445000
"12, Hawthorn Road, Gatley, Cheadle 23 Semi-Detached 3 Freehold P",SK8 4LX,Detached,3.0,Freehold,30 Sep 2025,410000
"4, Hollybank Court, Swann Lane, Cheadle Hulme, Cheadle 8 Flat 2 Leasehold Previous t",SK8 7HL,Flat,2.0,Leasehold,29 Sep 2025,165000
"16, Cornwall Road, Heald Green, Cheadle 24 Semi-Detached 3 Leasehold",SK8 3EE,Detached,3.0,Leasehold,29 Sep 2025,384044
"16, Cornwall Road, Heald Green, Cheadle 24 Semi-Detached 3 Leasehold",SK8 3EE,Detached,3.0,Leasehold,29 Sep 2025,360000
"28, Lorna Grove, Gatley, Cheadle 27 Semi-Detached 3 Freehold P",SK8 4EB,Detached,3.0,Freehold,26 Sep 2025,425000
"3, Bulkeley Road, Cheadle 10 Terraced 2 Freehold Previo",SK8 2AD,Terraced,2.0,Freehold,26 Sep 2025,275000
"15, Featherstone Crescent, Heald Green, Cheadle 12 Semi-Detached 3 Freehold P",SK8 3XH,Detached,3.0,Freehold,26 Sep 2025,447500
"15, Manor Road, Cheadle Hulme, Cheadle 31 Semi-Detached 5 Freehold P",SK8 7DQ,Detached,5.0,Freehold,26 Sep 2025,1050000
